trial,pattern,true_mask,decoy_mask,best_mask_true,best_mask_decoy,self_score_true,self_score_decoy,margin_true,margin_decoy,top_scores_true,top_scores_decoy,true_matched_ssim,true_matched_psnr,true_matched_ncc,true_clahe_ssim,true_clahe_psnr,true_clahe_ncc,true_unsharp_ssim,true_unsharp_psnr,true_unsharp_ncc,decoy_matched_ssim,decoy_matched_psnr,decoy_matched_ncc,decoy_clahe_ssim,decoy_clahe_psnr,decoy_clahe_ncc,decoy_unsharp_ssim,decoy_unsharp_psnr,decoy_unsharp_ncc
0,bars,"{""kind"": ""spiral"", ""ell"": 3, ""chirality"": 1, ""pitch"": 2.5, ""knee"": 1.0, ""seed"": null}","{""kind"": ""spiral"", ""ell"": -3, ""chirality"": -1, ""pitch"": 3.5, ""knee"": 1.5, ""seed"": null}","{""kind"": ""spiral"", ""ell"": 3, ""chirality"": -1, ""pitch"": 3.0, ""knee"": 0.5, ""seed"": null}","{""kind"": ""spiral"", ""ell"": 3, ""chirality"": -1, ""pitch"": 3.0, ""knee"": 0.5, ""seed"": null}",-0.007486414961785078,-0.0060932476597726345,9.999999999999593e-06,9.999999999999593e-06,"[{""score"": -0.007486414961785078, ""kind"": ""spiral"", ""ell"": 3, ""chirality"": -1, ""pitch"": 3.0, ""knee"": 0.5, ""seed"": null}, {""score"": -0.007496414961785078, ""kind"": ""spiral"", ""ell"": -3, ""chirality"": 1, ""pitch"": 3.0, ""knee"": 0.5, ""seed"": null}, {""score"": -0.00896568581455946, ""kind"": ""spiral"", ""ell"": -1, ""chirality"": -1, ""pitch"": 1.5, ""knee"": 0.0, ""seed"": null}, {""score"": -0.00897568581455946, ""kind"": ""spiral"", ""ell"": 1, ""chirality"": 1, ""pitch"": 1.5, ""knee"": 0.0, ""seed"": null}, {""score"": -0.028050176650226116, ""kind"": ""spiral"", ""ell"": 1, ""chirality"": -1, ""pitch"": 3.0, ""knee"": 0.5, ""seed"": null}]","[{""score"": -0.0060932476597726345, ""kind"": ""spiral"", ""ell"": 3, ""chirality"": -1, ""pitch"": 3.0, ""knee"": 0.5, ""seed"": null}, {""score"": -0.006103247659772634, ""kind"": ""spiral"", ""ell"": -3, ""chirality"": 1, ""pitch"": 3.0, ""knee"": 0.5, ""seed"": null}, {""score"": -0.009953861441403629, ""kind"": ""spiral"", ""ell"": -1, ""chirality"": -1, ""pitch"": 1.5, ""knee"": 0.0, ""seed"": null}, {""score"": -0.009963861441403628, ""kind"": ""spiral"", ""ell"": 1, ""chirality"": 1, ""pitch"": 1.5, ""knee"": 0.0, ""seed"": null}, {""score"": -0.03607184331858158, ""kind"": ""spiral"", ""ell"": -1, ""chirality"": -1, ""pitch"": 1.5, ""knee"": 0.5, ""seed"": null}]",0.039212681353092194,4.804132568702139,-0.11113889515399933,0.07137106359004974,7.229523639594854,0.5179409384727478,0.09415282309055328,5.534853843770872,0.4178900718688965,0.04224146902561188,4.815585675336034,-0.1161777451634407,0.06246083974838257,6.91380884529345,0.4666368067264557,0.11301299184560776,5.942177276389051,0.4400479793548584
0,ring,"{""kind"": ""spiral"", ""ell"": 2, ""chirality"": 1, ""pitch"": 0.0, ""knee"": 0.5, ""seed"": null}","{""kind"": ""spiral"", ""ell"": -2, ""chirality"": -1, ""pitch"": 1.0, ""knee"": 1.0, ""seed"": null}","{""kind"": ""random"", ""ell"": 0, ""chirality"": -1, ""pitch"": 0.0, ""knee"": 0.0, ""seed"": 456}","{""kind"": ""spiral"", ""ell"": -2, ""chirality"": -1, ""pitch"": 3.0, ""knee"": 0.5, ""seed"": null}",-0.008583414444476366,-0.007383176449790597,0.0007546614076495168,9.999999999999593e-06,"[{""score"": -0.008583414444476366, ""kind"": ""random"", ""ell"": 0, ""chirality"": -1, ""pitch"": 0.0, ""knee"": 0.0, ""seed"": 456}, {""score"": -0.009338075852125883, ""kind"": ""spiral"", ""ell"": -2, ""chirality"": -1, ""pitch"": 3.0, ""knee"": 0.5, ""seed"": null}, {""score"": -0.009348075852125883, ""kind"": ""spiral"", ""ell"": 2, ""chirality"": 1, ""pitch"": 3.0, ""knee"": 0.5, ""seed"": null}, {""score"": -0.009350800512462855, ""kind"": ""spiral"", ""ell"": -2, ""chirality"": -1, ""pitch"": 3.0, ""knee"": 0.0, ""seed"": null}, {""score"": -0.009360800512462854, ""kind"": ""spiral"", ""ell"": 2, ""chirality"": 1, ""pitch"": 3.0, ""knee"": 0.0, ""seed"": null}]","[{""score"": -0.007383176449790597, ""kind"": ""spiral"", ""ell"": -2, ""chirality"": -1, ""pitch"": 3.0, ""knee"": 0.5, ""seed"": null}, {""score"": -0.007393176449790597, ""kind"": ""spiral"", ""ell"": 2, ""chirality"": 1, ""pitch"": 3.0, ""knee"": 0.5, ""seed"": null}, {""score"": -0.007412800656735897, ""kind"": ""spiral"", ""ell"": 2, ""chirality"": -1, ""pitch"": 1.5, ""knee"": 0.0, ""seed"": null}, {""score"": -0.007422800656735897, ""kind"": ""spiral"", ""ell"": -2, ""chirality"": 1, ""pitch"": 1.5, ""knee"": 0.0, ""seed"": null}, {""score"": -0.007594727303937078, ""kind"": ""spiral"", ""ell"": -2, ""chirality"": -1, ""pitch"": 3.0, ""knee"": 0.0, ""seed"": null}]",0.02700587548315525,8.970605302773379,-0.030987603589892387,0.07596343010663986,15.285302079766144,0.7802451252937317,0.355014443397522,13.808030251291608,0.7426443696022034,0.026154305785894394,11.804432154900068,0.3674737215042114,0.07253672182559967,15.116091711978996,0.7758075594902039,0.34631842374801636,13.591758409674151,0.7363325953483582
0,spiral_hint,"{""kind"": ""spiral"", ""ell"": -3, ""chirality"": 1, ""pitch"": 0.0, ""knee"": 1.0, ""seed"": null}","{""kind"": ""spiral"", ""ell"": 3, ""chirality"": -1, ""pitch"": 1.0, ""knee"": 1.5, ""seed"": null}","{""kind"": ""spiral"", ""ell"": 2, ""chirality"": -1, ""pitch"": 1.5, ""knee"": 0.0, ""seed"": null}","{""kind"": ""spiral"", ""ell"": 2, ""chirality"": -1, ""pitch"": 1.5, ""knee"": 0.0, ""seed"": null}",-0.0024057336599677803,-0.0024535602173879744,1.0000000000000026e-05,1.0000000000000026e-05,"[{""score"": -0.0024057336599677803, ""kind"": ""spiral"", ""ell"": 2, ""chirality"": -1, ""pitch"": 1.5, ""knee"": 0.0, ""seed"": null}, {""score"": -0.0024157336599677803, ""kind"": ""spiral"", ""ell"": -2, ""chirality"": 1, ""pitch"": 1.5, ""knee"": 0.0, ""seed"": null}, {""score"": -0.0028507749998122455, ""kind"": ""spiral"", ""ell"": 2, ""chirality"": -1, ""pitch"": 1.5, ""knee"": 0.5, ""seed"": null}, {""score"": -0.0028607749998122455, ""kind"": ""spiral"", ""ell"": -2, ""chirality"": 1, ""pitch"": 1.5, ""knee"": 0.5, ""seed"": null}, {""score"": -0.005763495424702764, ""kind"": ""spiral"", ""ell"": 1, ""chirality"": -1, ""pitch"": 3.0, ""knee"": 0.5, ""seed"": null}]","[{""score"": -0.0024535602173879744, ""kind"": ""spiral"", ""ell"": 2, ""chirality"": -1, ""pitch"": 1.5, ""knee"": 0.0, ""seed"": null}, {""score"": -0.0024635602173879744, ""kind"": ""spiral"", ""ell"": -2, ""chirality"": 1, ""pitch"": 1.5, ""knee"": 0.0, ""seed"": null}, {""score"": -0.0030617846391275527, ""kind"": ""spiral"", ""ell"": 2, ""chirality"": -1, ""pitch"": 1.5, ""knee"": 0.5, ""seed"": null}, {""score"": -0.0030717846391275527, ""kind"": ""spiral"", ""ell"": -2, ""chirality"": 1, ""pitch"": 1.5, ""knee"": 0.5, ""seed"": null}, {""score"": -0.005816321911394596, ""kind"": ""spiral"", ""ell"": -2, ""chirality"": -1, ""pitch"": 3.0, ""knee"": 0.5, ""seed"": null}]",0.04342547059059143,13.294426132149336,0.05821003392338753,0.06307512521743774,19.449857374672455,0.6568101644515991,0.3746119737625122,20.43754218066427,0.6175687313079834,0.0477769635617733,13.799092341273438,0.05710184574127197,0.06226494908332825,19.343288057656952,0.6577114462852478,0.3685060143470764,20.47754546097731,0.6231905817985535
1,bars,"{""kind"": ""spiral"", ""ell"": -3, ""chirality"": -1, ""pitch"": 0.0, ""knee"": 0.5, ""seed"": null}","{""kind"": ""spiral"", ""ell"": 3, ""chirality"": 1, ""pitch"": 1.0, ""knee"": 1.0, ""seed"": null}","{""kind"": ""spiral"", ""ell"": -1, ""chirality"": -1, ""pitch"": 1.5, ""knee"": 0.0, ""seed"": null}","{""kind"": ""spiral"", ""ell"": -1, ""chirality"": -1, ""pitch"": 1.5, ""knee"": 0.0, ""seed"": null}",-0.0037973039689809082,-0.004765650108397007,1.0000000000000026e-05,9.999999999999593e-06,"[{""score"": -0.0037973039689809082, ""kind"": ""spiral"", ""ell"": -1, ""chirality"": -1, ""pitch"": 1.5, ""knee"": 0.0, ""seed"": null}, {""score"": -0.0038073039689809083, ""kind"": ""spiral"", ""ell"": 1, ""chirality"": 1, ""pitch"": 1.5, ""knee"": 0.0, ""seed"": null}, {""score"": -0.006648751540377736, ""kind"": ""spiral"", ""ell"": 3, ""chirality"": -1, ""pitch"": 3.0, ""knee"": 0.5, ""seed"": null}, {""score"": -0.006658751540377736, ""kind"": ""spiral"", ""ell"": -3, ""chirality"": 1, ""pitch"": 3.0, ""knee"": 0.5, ""seed"": null}, {""score"": -0.01484587540844083, ""kind"": ""spiral"", ""ell"": -1, ""chirality"": -1, ""pitch"": 1.5, ""knee"": 0.5, ""seed"": null}]","[{""score"": -0.004765650108397007, ""kind"": ""spiral"", ""ell"": -1, ""chirality"": -1, ""pitch"": 1.5, ""knee"": 0.0, ""seed"": null}, {""score"": -0.004775650108397007, ""kind"": ""spiral"", ""ell"": 1, ""chirality"": 1, ""pitch"": 1.5, ""knee"": 0.0, ""seed"": null}, {""score"": -0.005071214033558965, ""kind"": ""spiral"", ""ell"": 3, ""chirality"": -1, ""pitch"": 3.0, ""knee"": 0.5, ""seed"": null}, {""score"": -0.005081214033558964, ""kind"": ""spiral"", ""ell"": -3, ""chirality"": 1, ""pitch"": 3.0, ""knee"": 0.5, ""seed"": null}, {""score"": -0.01946455411607027, ""kind"": ""spiral"", ""ell"": -1, ""chirality"": -1, ""pitch"": 1.5, ""knee"": 0.5, ""seed"": null}]",0.08397276699542999,5.3653196571625745,0.017944101244211197,0.08733516186475754,7.294556136521603,0.5924758315086365,0.06376682221889496,4.461810285860207,0.3244137465953827,0.08458660542964935,5.4607861922588,0.00984060950577259,0.07867869734764099,7.238024510350791,0.5555905699729919,0.07600640505552292,4.764564930560598,0.3623829185962677
1,ring,"{""kind"": ""spiral"", ""ell"": 3, ""chirality"": 1, ""pitch"": 2.5, ""knee"": 1.0, ""seed"": null}","{""kind"": ""spiral"", ""ell"": -3, ""chirality"": -1, ""pitch"": 3.5, ""knee"": 1.5, ""seed"": null}","{""kind"": ""spiral"", ""ell"": -3, ""chirality"": -1, ""pitch"": 0.0, ""knee"": 0.0, ""seed"": null}","{""kind"": ""spiral"", ""ell"": -3, ""chirality"": -1, ""pitch"": 0.0, ""knee"": 0.0, ""seed"": null}",-0.00408161441449821,-0.00429815529499948,9.999999999999593e-06,9.999999999999593e-06,"[{""score"": -0.00408161441449821, ""kind"": ""spiral"", ""ell"": -3, ""chirality"": -1, ""pitch"": 0.0, ""knee"": 0.0, ""seed"": null}, {""score"": -0.0040916144144982096, ""kind"": ""spiral"", ""ell"": 3, ""chirality"": 1, ""pitch"": 0.0, ""knee"": 0.0, ""seed"": null}, {""score"": -0.004202603694319725, ""kind"": ""spiral"", ""ell"": 3, ""chirality"": -1, ""pitch"": 0.0, ""knee"": 0.0, ""seed"": null}, {""score"": -0.004212603694319725, ""kind"": ""spiral"", ""ell"": -3, ""chirality"": 1, ""pitch"": 0.0, ""knee"": 0.0, ""seed"": null}, {""score"": -0.004835803611144424, ""kind"": ""spiral"", ""ell"": -1, ""chirality"": -1, ""pitch"": 1.5, ""knee"": 0.0, ""seed"": null}]","[{""score"": -0.00429815529499948, ""kind"": ""spiral"", ""ell"": -3, ""chirality"": -1, ""pitch"": 0.0, ""knee"": 0.0, ""seed"": null}, {""score"": -0.00430815529499948, ""kind"": ""spiral"", ""ell"": 3, ""chirality"": 1, ""pitch"": 0.0, ""knee"": 0.0, ""seed"": null}, {""score"": -0.004419083806023002, ""kind"": ""spiral"", ""ell"": 3, ""chirality"": -1, ""pitch"": 0.0, ""knee"": 0.0, ""seed"": null}, {""score"": -0.004429083806023001, ""kind"": ""spiral"", ""ell"": -3, ""chirality"": 1, ""pitch"": 0.0, ""knee"": 0.0, ""seed"": null}, {""score"": -0.005052403630629182, ""kind"": ""spiral"", ""ell"": -1, ""chirality"": -1, ""pitch"": 1.5, ""knee"": 0.0, ""seed"": null}]",0.03840082511305809,10.905342534473156,0.22005195915699005,0.024391628801822662,12.330652139678051,0.38994139432907104,0.3358057141304016,11.933631898324172,0.3038058280944824,0.03885723277926445,10.722851878505699,0.2208714485168457,0.022194091230630875,12.350661259993243,0.40073275566101074,0.32392051815986633,11.987660361491661,0.3210231363773346
1,spiral_hint,"{""kind"": ""spiral"", ""ell"": -3, ""chirality"": -1, ""pitch"": 1.0, ""knee"": 1.0, ""seed"": null}","{""kind"": ""spiral"", ""ell"": 3, ""chirality"": 1, ""pitch"": 2.0, ""knee"": 1.5, ""seed"": null}","{""kind"": ""spiral"", ""ell"": 2, ""chirality"": -1, ""pitch"": 1.5, ""knee"": 0.0, ""seed"": null}","{""kind"": ""spiral"", ""ell"": 2, ""chirality"": -1, ""pitch"": 1.5, ""knee"": 0.0, ""seed"": null}",-0.0036691416503041984,-0.003829815167106688,1.0000000000000026e-05,1.0000000000000026e-05,"[{""score"": -0.0036691416503041984, ""kind"": ""spiral"", ""ell"": 2, ""chirality"": -1, ""pitch"": 1.5, ""knee"": 0.0, ""seed"": null}, {""score"": -0.0036791416503041984, ""kind"": ""spiral"", ""ell"": -2, ""chirality"": 1, ""pitch"": 1.5, ""knee"": 0.0, ""seed"": null}, {""score"": -0.005040310880273581, ""kind"": ""spiral"", ""ell"": -2, ""chirality"": -1, ""pitch"": 3.0, ""knee"": 0.5, ""seed"": null}, {""score"": -0.00505031088027358, ""kind"": ""spiral"", ""ell"": 2, ""chirality"": 1, ""pitch"": 3.0, ""knee"": 0.5, ""seed"": null}, {""score"": -0.005301647212460637, ""kind"": ""spiral"", ""ell"": 2, ""chirality"": -1, ""pitch"": 1.5, ""knee"": 0.5, ""seed"": null}]","[{""score"": -0.003829815167106688, ""kind"": ""spiral"", ""ell"": 2, ""chirality"": -1, ""pitch"": 1.5, ""knee"": 0.0, ""seed"": null}, {""score"": -0.003839815167106688, ""kind"": ""spiral"", ""ell"": -2, ""chirality"": 1, ""pitch"": 1.5, ""knee"": 0.0, ""seed"": null}, {""score"": -0.004956004766851664, ""kind"": ""spiral"", ""ell"": -2, ""chirality"": -1, ""pitch"": 3.0, ""knee"": 0.5, ""seed"": null}, {""score"": -0.004966004766851663, ""kind"": ""spiral"", ""ell"": 2, ""chirality"": 1, ""pitch"": 3.0, ""knee"": 0.5, ""seed"": null}, {""score"": -0.00563327721144259, ""kind"": ""spiral"", ""ell"": 2, ""chirality"": -1, ""pitch"": 1.5, ""knee"": 0.5, ""seed"": null}]",0.05490582808852196,13.757564669445944,0.06059938296675682,0.058943040668964386,18.80694272092842,0.6625644564628601,0.3749467432498932,20.371203045067233,0.6254856586456299,0.056019753217697144,13.944672912238456,0.0526089109480381,0.05835883319377899,18.667253174994094,0.6652688384056091,0.3722924590110779,20.4525427954993,0.635130763053894
